"gene_short_name","pval","qval"
"HSH2D",3.53159133740173e-279,5.35665846910794e-278
"MCL1",0,0
"CSRNP1",5.20323710254921e-285,8.06130091102088e-284
"TYROBP",0,0
"KLRB1",0,0
"ZBTB16",4.81827718331471e-272,6.96722880707307e-271
"RGCC",0,0
"CTSD",3.12748055758745e-275,4.67827953752219e-274
"KLRC1",0,0
"CREM",0,0
"KDM6B",1.03210324660022e-227,1.26476380896942e-226
"MT2A",0,0
"IFITM1",1.42868977845633e-233,1.8016442613208e-232
"ALOX5AP",0,0
"TNFAIP3",0,0
"SDCBP",4.88480780214795e-252,6.46045617247494e-251
