"","Gene_Clusters"
"KIF13A","1"
"ITGB2-AS1","2"
"LINC00092","1"
"SPAG1","1"
"IMPAD1","1"
"SLC1A7","1"
"MNAT1","1"
"PYURF","2"
"PLXDC2","1"
"MIER1","1"
"MXD4","1"
"GTPBP1","1"
"NDFIP1","1"
"SMIM37","2"
"YBX3","2"
"BLOC1S4","2"
"CDKN2D","2"
"ROMO1","1"
"AL109741.1","2"
"F12","2"
"PHLDB2","1"
"AC245297.3","2"
"HIGD2A","2"
"PDE3B","1"
"GPR171","2"
"TNFRSF12A","1"
"SCAND1","2"
"MICAL1","1"
"RBM5","1"
"CNPY3","1"
"LINC02273","1"
"PSMB8-AS1","2"
"CAMK1","1"
"P4HB","1"
"RELA","1"
"PCDH1","1"
"LGALS9C","1"
"EIF3F","2"
"HSPA9","1"
"TMSB4Y","1"
"SNX8","1"
"CENPV","1"
"GPR183","2"
"CXCL2","1"
"DIAPH1","1"
"CAMK2N1","2"
"HBQ1","1"
"REX1BD","2"
"C16orf74","2"
"PYROXD2","2"
"DGKZ","2"
"ATP10A","1"
"AKIRIN1","1"
"BCAS4","2"
"AL109761.1","2"
"RB1CC1","1"
"TBCA","2"
"PHB2","2"
"TMBIM1","1"
"TMOD1","1"
"MAP7D1","1"
"MUC12","1"
"IGHV4-39","1"
"RFC2","1"
"RRP7A","1"
"TCP1","1"
"PABPC1","2"
"PLEK","1"
"Z82206.1","2"
"KLRD1","1"
"DAB2IP","2"
"TBX21","2"
"ATF5","1"
"SLFN11","2"
"STX4","1"
"LGALS3","2"
"NT5C3A","1"
"LINC01954","2"
"HSPA5","1"
"SKI","1"
"CLEC11A","1"
"BAK1","1"
"UBE2I","1"
"OS9","1"
"P2RY10","2"
"PARK7","1"
"QPCT","1"
"ZBTB4","1"
"ASAH1","1"
"CRTC3","1"
"PMF1","1"
"ARPC4","1"
"SPCS2","1"
"ANXA6","2"
"SERTAD2","2"
"FNIP2","1"
"LINC02084","2"
"HERC5","1"
"UBALD2","1"
"MANEA-DT","2"
"TLR3","1"
"LINC01970","2"
"UQCRB","2"
"DTHD1","1"
"TBC1D15","1"
"CD72","1"
"COPZ2","1"
"AL359513.1","2"
"NXPE3","2"
"RNF165","1"
"AP2S1","1"
"NCOR2","1"
"VCAM1","2"
"PIGF","2"
"CMTM6","1"
"MSC-AS1","2"
"BTN2A2","1"
"LDLR","1"
"NOP53","2"
"HIST1H4C","2"
"SLC25A5","2"
"TET2","1"
"ITGA6","2"
"JAML","1"
"TECR","2"
"TNFSF14","1"
"MAGEE1","2"
"KRT1","2"
"SLAMF6","1"
"RRP12","1"
"AL606760.3","2"
"PLEKHB2","1"
"GRINA","1"
"RNMT","1"
"EWSR1","1"
"YJU2","1"
"RAB30","1"
"FNIP1","1"
"MEX3C","2"
"NDUFV2","2"
"AC093462.1","2"
"CPD","1"
"SNX3","1"
"CST3","1"
"ODF3B","1"
"DBP","1"
"BMP2","1"
"PEX14","1"
"PSENEN","1"
"EIF3L","2"
"ZRSR2","2"
"HSD17B11","2"
"AC007349.3","2"
"ENC1","2"
"CD320","2"
"CALM2","1"
"PSMA3","1"
"SEC61G","1"
"MBP","2"
"TNFSF10","1"
"GYG1","2"
"SRP14","1"
"RASSF7","2"
"CD70","2"
"CHPT1","2"
"MT-ATP6","2"
"ST8SIA4","2"
"C19orf84","1"
"PALLD","1"
"WIPF3","1"
"HSPA2","2"
"IGLV3-19","1"
"NR4A1","1"
"FAM19A1","2"
"GNL1","1"
"IFT57","1"
"RHOH","1"
"SIK2","1"
"AC016831.7","1"
"CHMP4B","1"
"AKAP17A","1"
"STK16","2"
"CCDC184","1"
"FBP1","1"
"ZBTB1","1"
"NAP1L4","2"
"PAXIP1-AS1","2"
"TCIRG1","1"
"TIAL1","2"
"AASS","2"
"TMA7","2"
"XBP1","1"
"RAB11FIP1","1"
"HELZ2","1"
"BIRC3","2"
"MCM7","1"
"AC111182.1","2"
"PDIA4","1"
"PROCR","1"
"ATF4","1"
"HP1BP3","2"
"CAPN12","2"
"TMEM14C","1"
"UXT","2"
"LINC00944","2"
"SIGIRR","2"
"PAPOLA","1"
"DNAJB9","1"
"CNN2","2"
"NXT1","1"
"ACYP1","2"
"PARD6G","1"
"NR1H2","1"
"RBM42","1"
"MAN1A1","1"
"TEX30","1"
"LPIN1","1"
"MTCH2","1"
"GFI1","2"
"FZR1","1"
"ATP6V1A","1"
"IL12RB1","1"
"CALHM2","2"
"PRKD3","1"
"ARC","1"
"AC128688.2","2"
"LPAR5","1"
"MIDN","1"
"CCT3","1"
"CXCL3","1"
"SERBP1","1"
"ATF7IP2","1"
"KIR3DL2","2"
"SNHG19","2"
"SIRT2","1"
"PRKCB","2"
"MKNK2","1"
"SELENOT","1"
"TMC8","2"
"NET1","1"
"ATP5MD","2"
"IL10","1"
"CDC25B","2"
"USP16","1"
"DHRS1","2"
"ANAPC16","2"
"SNAP29","1"
"SOCS3","1"
"MXD3","2"
"N4BP2L1","1"
"AL512625.1","2"
"DPEP2","1"
"ZNF136","1"
"LINC01934","2"
"ADPGK","1"
"AC004832.6","2"
"AL359962.2","1"
"BTBD11","1"
"EHD4","1"
"C1QTNF3","1"
"HIC1","1"
"ALKBH7","2"
"SLC25A42","2"
"BAD","1"
"HELB","1"
"DYNLRB1","1"
"CERNA1","2"
"AC007952.4","1"
"AC069185.1","2"
"IGF1R","1"
"MAP2K6","2"
"CTBS","1"
"GPCPD1","1"
"SOWAHD","2"
"AC011773.4","2"
"CERK","1"
"CAPZA2","1"
"ARID3A","1"
"OGFRL1","2"
"AC015912.3","2"
"LINC00384","2"
"ZNF106","1"
"MHENCR","2"
"RPL17","2"
"AL603756.1","2"
"ATF3","1"
"CLN8","1"
"LLGL2","1"
"RTF1","1"
"GIPC1","2"
"CCDC173","1"
"NPAT","1"
"LMO4","1"
"CLTB","1"
"EPAS1","1"
"CCDC28B","1"
"SLC25A4","1"
"CCSER2","1"
"C22orf46","2"
"CNST","1"
"ATP5F1D","2"
"RAD21","1"
"ELL","1"
"FLI1","2"
"ATP8B4","1"
"EMC7","1"
"NDUFV2-AS1","2"
"CHST12","1"
"THEM4","1"
"TOLLIP-AS1","2"
"GHITM","1"
"PLEKHG3","1"
"AL355353.1","2"
"TES","1"
"ZNF571","1"
"RLF","1"
"IL7","2"
"STRAP","1"
"JHY","2"
"CASZ1","1"
"CCDC32","1"
"TXNL4A","1"
"PPTC7","1"
"S100A8","2"
"OSTF1","1"
"AC096734.2","2"
"HDAC9","2"
"SLC39A10","2"
"POU2F2","1"
"DCTN3","1"
"CKLF","2"
"B9D2","1"
"ELL2","1"
"RFC4","2"
"PLCL1","2"
"ZNF256","1"
"MAP4K1","2"
"CD37","2"
"TMEM116","2"
"REC8","1"
"PDCD7","2"
"WBP2","1"
"NDUFB2-AS1","2"
"ATP6AP2","1"
"GNB1","1"
"BTF3L4","1"
"CCNB1IP1","2"
"STK26","1"
"ID2","1"
"HOOK3","1"
"BRK1","1"
"ST13","1"
"TMEM167B","1"
"ZMYND8","1"
"GNS","1"
"DDX3X","1"
"BOD1L1","1"
"BEX2","1"
"SNW1","1"
"STK38L","1"
"OSBP","1"
"TGIF2","1"
"HAX1","2"
"AC006449.6","1"
"CCDC88C","2"
"AL031733.2","2"
"SCP2","1"
"NUTM2A-AS1","2"
"SERTAD3","2"
"RBM7","1"
"CHMP1A","1"
"MFSD2A","1"
"ABCA1","1"
"CXCR3","2"
"RPN2","1"
"CENPK","2"
"KYNU","1"
"MAPKAPK2","2"
"GRAMD2B","1"
"GNLY","2"
"FBXL15","2"
"MOK","1"
"PPP4C","1"
"ARID2","1"
"B3GALT6","1"
"COX19","1"
"ATP11A","1"
"AARD","1"
"CSGALNACT2","1"
"CDKN2B","2"
"MESD","1"
"AP005019.1","1"
"PSMC3","1"
"CDC5L","1"
"NDUFB7","2"
"GPATCH2","1"
"AP5Z1","1"
"TMEM50A","1"
"OSM","2"
"PRKAA1","1"
"GSTO1","1"
"MBNL2","1"
"RNF146","2"
"TBC1D10C","1"
"PTPRN2","1"
"HDLBP","1"
"CLDND1","1"
"EPOP","1"
"WIPF1","1"
"CMPK2","1"
"SHOC2","1"
"AC103706.1","2"
"LGALS9","1"
"ARRB2","2"
"TBCC","2"
"PNKP","1"
"BANF1","1"
"LRP2BP","2"
"TRAPPC2","2"
"PTBP1","1"
"COPZ1","1"
"UBE2Q2","1"
"WDR48","1"
"MPHOSPH8","2"
"CDKN2C","1"
"HAT1","1"
"TSC22D1","1"
"RPN1","1"
"F2R","2"
"AC136475.1","2"
"TMSB10","1"
"IGHV3-30","1"
"HMGXB4","1"
"TTC38","1"
"FRYL","1"
"MVD","1"
"NT5DC1","2"
"SRSF10","1"
"CACNA2D4","1"
"HIST1H2BN","1"
"PCIF1","1"
"LRMP","1"
"LFNG","1"
"TMEM208","1"
"POLR2G","1"
"NECTIN1","1"
"CKAP4","1"
"HIST1H2BJ","1"
"SIGLEC7","1"
"IL17RB","1"
"TRBC2","2"
"CNFN","1"
"CEBPG","1"
"AC012414.3","1"
"DPH3","1"
"FN3KRP","2"
"TAPBPL","1"
"UBE2S","1"
"COMMD5","1"
"GNB2","1"
"AC009831.1","2"
"HOXC5","2"
"PRKACB","1"
"HIPK1","1"
"ATP6V0B","1"
"NCBP2-AS2","2"
"RAD51C","2"
"PI4K2A","1"
"BUB3","2"
"ADARB1","2"
"RNF157","2"
"MLLT11","1"
"PPIL4","1"
"RINL","2"
"PIGT","1"
"C10orf95","2"
"JCHAIN","2"
"FCGR3B","1"
"AC025181.2","2"
"MORF4L2-AS1","2"
"MTCH1","1"
"ARF3","1"
"FAM53B","1"
"PAFAH1B3","2"
"CCT5","1"
"WHRN","1"
"ABI3","1"
"ZNF276","2"
"DUSP3","1"
"SLC2A14","1"
"BDP1","1"
"SEC11C","1"
"GNA13","1"
"KLRF1","1"
"PLEKHF1","2"
"CA5B","1"
"NRIP1","1"
"DNAJC3","1"
"AC020911.2","2"
"SRRM1","1"
"KNOP1","2"
"RPA1","1"
"PHLDA3","1"
"CLU","2"
"PTPRC","1"
"AL137003.2","2"
"MMP9","1"
"SKAP1","2"
"HDGFL3","1"
"ATP6V1B2","1"
"APBB1IP","2"
"TANC1","2"
"WARS","1"
"MORF4L1","1"
"AL109955.1","2"
"HLA-DMB","2"
"TSPAN31","1"
"ERLEC1","1"
"LAPTM4B","1"
"UTRN","1"
"NSD3","1"
"TMEM243","2"
"ZNF92","1"
"AC139530.1","2"
"JAG1","1"
"EPM2AIP1","2"
"ZMAT4","1"
"ZMAT2","1"
"SERINC1","1"
"AP002387.2","2"
"MTF2","1"
"PRPF40A","1"
"BIK","1"
"NDUFA4","1"
"IGHG2","1"
"CTSF","1"
"MXI1","1"
"TXLNG","2"
"TSPAN5","2"
"EIF4H","1"
"TNFAIP2","1"
"DUT","2"
"AC006333.2","2"
"LBR","1"
"INSIG1","2"
"ARSJ","1"
"TMOD2","2"
"AL360012.1","1"
"CCL20","2"
"DDX27","1"
"UBE2D3","1"
"MAGT1","1"
"STX10","2"
"IFITM2","1"
"DBI","1"
"SNAPC1","1"
"UNC93B1","1"
"SERINC5","1"
"TFDP1","1"
"HES5","1"
"ZNF516","1"
"GPRIN3","1"
"CARMIL3","1"
"AC025171.3","2"
"CCDC71L","2"
"TNIP3","2"
"SEPT11","1"
"SDC4","1"
"PLK3","1"
"PRR5L","1"
"PITPNA","1"
"OR4D1","2"
"NSA2","2"
"MRPS34","2"
"TAX1BP1","1"
"RNF168","1"
"LETMD1","2"
"CCDC93","1"
"GABARAPL1","1"
"RABEP2","1"
"FOXK2","1"
"CYB5A","1"
"BCL7B","1"
"DCBLD1","2"
"EMC3","1"
"IGHV1-46","1"
"UACA","1"
"SGCB","2"
"TSC22D4","2"
"UNG","2"
"AKNA","1"
"RENBP","1"
"KRT10","1"
"NFIL3","1"
"PIGX","1"
"PLAU","1"
"AC246785.3","2"
"AKIRIN2","2"
"CTSL","1"
"BAZ1A","1"
"AL445524.1","1"
"TPST2","1"
"MARCKS","1"
"SNRPA","2"
"B3GLCT","1"
"APOA1","1"
"FBXO11","1"
"RPL39L","1"
"NXPH4","1"
"PPWD1","2"
"TRAF4","1"
"SYNM","1"
"SH3BGRL","1"
"CA2","1"
"WDR60","1"
"C2CD4D","2"
"IDS","1"
"TUSC2","1"
"CCDC69","1"
"TNFRSF11A","1"
"RHOBTB3","1"
"IGLV2-23","1"
"AC016773.1","2"
"ADAT1","2"
"P4HA2","1"
"STAT2","1"
"FAM83D","2"
"TPP1","1"
"ZNF570","1"
"LGR6","1"
"SLTM","1"
"SLC35F6","1"
"ZC3H7A","1"
"SLC7A6","1"
"MED30","1"
"ZBTB21","1"
"BAZ2B","2"
"ESYT2","1"
"TMEM241","1"
"AL353708.1","2"
"ILKAP","1"
"KCNMA1","1"
"AL133342.1","1"
"PARD6A","1"
"CRY2","1"
"EIF4B","2"
"ELF2","1"
"KIAA0586","2"
"JPX","1"
"GSR","2"
"AC005614.1","2"
"HIST1H2BH","2"
"CRCP","1"
"SF3B2","1"
"NDUFAF3","1"
"HIPK1-AS1","2"
"KHDRBS1","1"
"PRCP","1"
"TRERF1","2"
"PRRG2","2"
"PTGS2","1"
"MRPL28","1"
"CCDC66","2"
"MVP","1"
"B3GNT5","1"
"BIN3","1"
"AIM2","2"
"PDGFB","2"
"CDK6","1"
"CDIP1","1"
"PRKAR2A","1"
"LUC7L","1"
"TMEM238","2"
"PHLDA2","1"
"MMD","1"
"RAP2C","1"
"COG2","2"
"PTGDR2","2"
"CLEC7A","1"
"ZFYVE16","1"
"ZFHX3","1"
"CD27","2"
"COMMD7","1"
"MIIP","2"
"DLST","1"
"HIST4H4","2"
"CPNE5","2"
"GSE1","1"
"KIAA0040","2"
"SGK3","1"
"REXO2","2"
"GPAT2","1"
"FERMT2","1"
"CPEB4","1"
"PCF11","2"
"FCGR3A","1"
"OAS2","1"
"NINL","2"
"IL9R","1"
"SCAF11","1"
"LINC02207","1"
"ARHGEF9","2"
"SPATA2","1"
"SLC49A3","1"
"AC010642.2","2"
"SORBS2","1"
"NDUFAF4","2"
"TSPAN17","1"
"JARID2","1"
"SRPK2","1"
"GPR155","2"
"EREG","1"
"POMC","1"
"IRGQ","1"
"PLEKHA2","1"
"CDO1","2"
"AC009053.2","2"
"CYP20A1","1"
"TCEAL1","2"
"PCNX2","2"
"AC073263.2","2"
"MPPE1","1"
"OPHN1","1"
"FAM111A","2"
"DDX17","1"
"NKTR","2"
"TCEAL9","1"
"PAXBP1","1"
"GFPT2","1"
"SRRM2","1"
"RARRES3","1"
"STX1A","1"
"ZFPM1","2"
"NAA16","2"
"ATP5MG","2"
"FOXN3","1"
"ABHD14B","2"
"SMCHD1","1"
"AP2A1","1"
"RPS27L","1"
"SFT2D2","1"
"AC072061.1","2"
"LINC01588","2"
"CSPP1","1"
"SMIM7","1"
"POFUT2","1"
"MAP3K8","1"
"HIST2H2BF","1"
"SPSB1","1"
"SYCE1","1"
"CIR1","1"
"PUM1","1"
"RABIF","1"
"SLC39A1","1"
"MZB1","1"
"INIP","1"
"SNHG12","2"
"CNN3","1"
"DCK","1"
"PODN","1"
"CYB561D2.1","2"
"KRT73","1"
"ARID5B","1"
"FBL","2"
"GOLIM4","1"
"ACBD5","2"
"LINC00685","2"
