"","Clusters","gene_short_name","family","pval","qval","status","num_cells_expressed","use_for_ordering"
"ISG15","1","ISG15","negbinomial.size",0,0,"OK",7915,TRUE
"IFI6","1","IFI6","negbinomial.size",0,0,"OK",4807,TRUE
"RPS8","2","RPS8","negbinomial.size",0,0,"OK",16248,TRUE
"IFI44L","1","IFI44L","negbinomial.size",0,0,"OK",2536,TRUE
"CD2","2","CD2","negbinomial.size",0,0,"OK",6994,TRUE
"TXNIP","1","TXNIP","negbinomial.size",1.51660732947766e-194,1.59685499885293e-193,"OK",12962,TRUE
"MCL1","1","MCL1","negbinomial.size",0,0,"OK",13998,TRUE
"LMNA","1","LMNA","negbinomial.size",9.88131291682493e-324,1.72922976044436e-322,"OK",7802,TRUE
"TAGLN2","1","TAGLN2","negbinomial.size",0,0,"OK",12516,TRUE
"FCER1G","1","FCER1G","negbinomial.size",0,0,"OK",8736,TRUE
"IGKC","1","IGKC","negbinomial.size",0,0,"OK",6941,TRUE
"CXCR4","2","CXCR4","negbinomial.size",1.01332091011573e-110,6.76274785858774e-110,"OK",12026,TRUE
"HSPD1","1","HSPD1","negbinomial.size",6.84661732660769e-299,1.10823231204568e-297,"OK",12061,TRUE
"TUBA4A","2","TUBA4A","negbinomial.size",2.06531672713929e-231,2.55981256066579e-230,"OK",12581,TRUE
"CMC1","2","CMC1","negbinomial.size",0,0,"OK",12251,TRUE
"GCSAM","2","GCSAM","negbinomial.size",2.20972408254234e-312,3.77393034254679e-311,"OK",1304,TRUE
"SPON2","1","SPON2","negbinomial.size",0,0,"OK",13121,TRUE
"IGFBP7","1","IGFBP7","negbinomial.size",0,0,"OK",5901,TRUE
"RPS14","2","RPS14","negbinomial.size",0,0,"OK",16278,TRUE
"HAVCR2","1","HAVCR2","negbinomial.size",0,0,"OK",4638,TRUE
"SQSTM1","1","SQSTM1","negbinomial.size",0,0,"OK",11499,TRUE
"HLA-A","1","HLA-A","negbinomial.size",0,0,"OK",16275,TRUE
"HSPA1B","1","HSPA1B","negbinomial.size",0,0,"OK",9266,TRUE
"RPS10","2","RPS10","negbinomial.size",0,0,"OK",15672,TRUE
"PIM1","1","PIM1","negbinomial.size",0,0,"OK",7419,TRUE
"RPS12","2","RPS12","negbinomial.size",0,0,"OK",16286,TRUE
"TNFAIP3","1","TNFAIP3","negbinomial.size",0,0,"OK",13943,TRUE
"HSPB1","1","HSPB1","negbinomial.size",4.04743498242907e-256,5.38581992447156e-255,"OK",8203,TRUE
"RPS4X","2","RPS4X","negbinomial.size",0,0,"OK",16274,TRUE
"XIST","2","XIST","negbinomial.size",8.92712643875612e-195,9.44533524178636e-194,"OK",8111,TRUE
"RPL39","2","RPL39","negbinomial.size",0,0,"OK",16283,TRUE
"MYOM2","1","MYOM2","negbinomial.size",0,0,"OK",4271,TRUE
"LY6E","1","LY6E","negbinomial.size",0,0,"OK",10664,TRUE
"ANXA1","1","ANXA1","negbinomial.size",0,0,"OK",14048,TRUE
"PTGDS","1","PTGDS","negbinomial.size",0,0,"OK",2684,TRUE
"HBB","2","HBB","negbinomial.size",2.17569392820073e-171,2.08808855321566e-170,"OK",264,TRUE
"FTH1","1","FTH1","negbinomial.size",0,0,"OK",16232,TRUE
"RPS3","2","RPS3","negbinomial.size",0,0,"OK",16281,TRUE
"SERPINH1","1","SERPINH1","negbinomial.size",0,0,"OK",1874,TRUE
"CD3E","2","CD3E","negbinomial.size",0,0,"OK",9021,TRUE
"CRTAM","2","CRTAM","negbinomial.size",0,0,"OK",4848,TRUE
"AKR1C3","1","AKR1C3","negbinomial.size",0,0,"OK",2876,TRUE
"CREM","1","CREM","negbinomial.size",0,0,"OK",11367,TRUE
"PRF1","1","PRF1","negbinomial.size",0,0,"OK",11851,TRUE
"KLRB1","1","KLRB1","negbinomial.size",0,0,"OK",10204,TRUE
"KLRC1","1","KLRC1","negbinomial.size",0,0,"OK",3625,TRUE
"GRASP","1","GRASP","negbinomial.size",0,0,"OK",8165,TRUE
"RPS26","1","RPS26","negbinomial.size",1.19216524166012e-227,1.45270022986561e-226,"OK",14881,TRUE
"UBC","1","UBC","negbinomial.size",6.02671967581701e-259,8.06910801039944e-258,"OK",16225,TRUE
"HSPH1","1","HSPH1","negbinomial.size",0,0,"OK",9428,TRUE
"RGCC","1","RGCC","negbinomial.size",0,0,"OK",8329,TRUE
"GZMB","1","GZMB","negbinomial.size",0,0,"OK",14837,TRUE
"NFKBIA","1","NFKBIA","negbinomial.size",0,0,"OK",16075,TRUE
"IGHG4","1","IGHG4","negbinomial.size",0,0,"OK",3276,TRUE
"IGHG1","1","IGHG1","negbinomial.size",3.86013489095766e-320,6.64493590374185e-319,"OK",2256,TRUE
"IGHG3","1","IGHG3","negbinomial.size",0,0,"OK",2734,TRUE
"HBA2","2","HBA2","negbinomial.size",1.26251674428579e-16,1.93937593367981e-16,"OK",521,TRUE
"IL32","2","IL32","negbinomial.size",0,0,"OK",11072,TRUE
"MT2A","1","MT2A","negbinomial.size",0,0,"OK",12599,TRUE
"MT1F","1","MT1F","negbinomial.size",1.31322569388964e-293,2.07911425550849e-292,"OK",2822,TRUE
"MT1G","1","MT1G","negbinomial.size",0,0,"OK",948,TRUE
"MT1X","1","MT1X","negbinomial.size",0,0,"OK",6969,TRUE
"CCL3","1","CCL3","negbinomial.size",0,0,"OK",11310,TRUE
"CST7","1","CST7","negbinomial.size",0,0,"OK",15954,TRUE
"SLA2","1","SLA2","negbinomial.size",4.04233520119812e-244,5.28182232011971e-243,"OK",3962,TRUE
"RPS21","2","RPS21","negbinomial.size",0,0,"OK",16080,TRUE
"GADD45B","1","GADD45B","negbinomial.size",0,0,"OK",15763,TRUE
"AC020916.1","1","AC020916.1","negbinomial.size",0,0,"OK",7567,TRUE
"JUND","1","JUND","negbinomial.size",0,0,"OK",16214,TRUE
"TYROBP","1","TYROBP","negbinomial.size",0,0,"OK",12479,TRUE
"PPP1R15A","1","PPP1R15A","negbinomial.size",0,0,"OK",15296,TRUE
"MYADM","1","MYADM","negbinomial.size",2.11135347093205e-272,3.07350716674606e-271,"OK",9720,TRUE
"RPS4Y1","1","RPS4Y1","negbinomial.size",0,0,"OK",4503,TRUE
"ZFY","1","ZFY","negbinomial.size",1.20938029316671e-147,1.008902252261e-146,"OK",1194,TRUE
"DDX3Y","1","DDX3Y","negbinomial.size",0,0,"OK",3356,TRUE
"IGLC2","1","IGLC2","negbinomial.size",0,0,"OK",3719,TRUE
"IGLC3","1","IGLC3","negbinomial.size",1.10098255574767e-144,9.04557258869964e-144,"OK",1409,TRUE
"HLA-DRB1","2","HLA-DRB1","negbinomial.size",0,0,"OK",8335,TRUE
"XAF1","1","XAF1","negbinomial.size",0,0,"OK",4676,TRUE
"RPLP2","2","RPLP2","negbinomial.size",0,0,"OK",16245,TRUE
"GNG2","1","GNG2","negbinomial.size",0,0,"OK",11010,TRUE
"YPEL5","1","YPEL5","negbinomial.size",0,0,"OK",13403,TRUE
"GADD45G","1","GADD45G","negbinomial.size",8.84039237460265e-284,1.35991567805058e-282,"OK",3966,TRUE
"METRNL","1","METRNL","negbinomial.size",0,0,"OK",11622,TRUE
"CD55","1","CD55","negbinomial.size",0,0,"OK",7443,TRUE
"RPL30","2","RPL30","negbinomial.size",0,0,"OK",16283,TRUE
"IFI27","1","IFI27","negbinomial.size",1.34340201387241e-87,7.12430065547494e-87,"OK",366,TRUE
"EFHD2","1","EFHD2","negbinomial.size",4.33274966421336e-295,6.91009854535204e-294,"OK",13727,TRUE
"RPL5","2","RPL5","negbinomial.size",0,0,"OK",16184,TRUE
"UTY","1","UTY","negbinomial.size",3.94144638998333e-94,2.22051875840879e-93,"OK",994,TRUE
"ANKRD9","1","ANKRD9","negbinomial.size",2.0309981641831e-211,2.24756888679242e-210,"OK",2403,TRUE
"APBA2","2","APBA2","negbinomial.size",1.84938942640371e-123,1.35061470231301e-122,"OK",5052,TRUE
"IFITM3","1","IFITM3","negbinomial.size",0,0,"OK",6567,TRUE
