marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
CD2	AXL+ SIGLEC6+ dendritic cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Dendritic cell lineage	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Mast cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Leukocyte	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Natural killer T (NKT) cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Megakaryocyte erythroid cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Immune cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	B cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Lymphocyte	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Cancer stem cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
